ID,DATE,n1,n2,n3,n4,n5
871,20060527,9,22,55,70,79
872,20060520,10,24,51,57,76
873,20060513,12,22,28,56,60
874,20060506,15,23,34,44,67
875,20060429,8,11,13,21,43
876,20060422,3,10,66,69,82
877,20060415,24,28,34,49,56
878,20060408,9,29,38,80,86
879,20060401,8,46,56,79,84
880,20060325,13,35,61,64,66
881,20060318,50,53,63,79,86
882,20060311,9,33,61,72,90
883,20060304,44,71,73,76,84
884,20060225,3,7,8,16,59
885,20060218,19,27,40,80,87
886,20060211,52,55,56,64,81
887,20060204,21,45,52,69,83
888,20060128,13,63,65,66,74
889,20060121,1,33,49,56,69
890,20060114,35,36,42,47,60
891,20060107,5,19,21,44,69
892,20060101,13,35,39,42,58
893,20051225,6,19,31,72,81
894,20051217,3,18,19,60,79
895,20051210,7,11,16,50,86
896,20051203,38,45,56,63,78
897,20051126,5,30,72,87,88
898,20051119,5,14,15,56,79
899,20051112,36,40,52,79,80
900,20051105,15,22,28,41,57
901,20051029,33,37,40,51,52
902,20051022,4,51,66,74,83
903,20051015,34,44,55,62,75
904,20051008,3,19,50,59,70
905,20051001,31,44,55,67,73
906,20050924,8,36,44,55,76
907,20050917,3,33,53,60,61
908,20050910,4,16,22,48,88
909,20050903,17,18,40,42,58
910,20050827,4,32,34,36,78
911,20050820,22,32,51,75,83
912,20050813,2,9,28,30,78
913,20050806,3,31,39,73,81
914,20050730,6,15,36,38,75
915,20050723,11,12,28,64,81
916,20050716,4,10,37,42,51
917,20050709,12,17,45,59,75
918,20050702,17,24,47,68,84
919,20050625,7,24,36,57,70
920,20050618,18,35,56,88,90
921,20050611,4,29,33,44,73
922,20050604,27,36,57,71,86
923,20050528,7,8,69,80,84
924,20050521,14,16,32,53,54
925,20050514,1,6,62,72,75
926,20050507,41,50,80,83,85
927,20050430,41,47,77,82,84
928,20050423,3,4,25,29,65
929,20050416,37,50,69,77,81
930,20050409,9,27,59,72,74
931,20050402,16,20,41,59,60
932,20050326,2,19,63,72,82
933,20050319,21,29,58,62,71
934,20050312,2,16,36,37,72
935,20050305,19,37,49,86,89
936,20050226,8,27,28,33,58
937,20050219,9,20,47,50,78
938,20050212,14,30,32,37,67
939,20050205,31,32,54,76,89
940,20050129,2,8,37,38,54
941,20050122,30,33,40,55,88
942,20050115,22,66,67,87,89
943,20050108,30,42,60,75,80
944,20050101,38,55,65,66,67
945,20041225,24,48,50,55,80
946,20041218,8,11,17,45,81
947,20041211,16,60,65,77,78
948,20041204,11,13,22,38,47
949,20041127,49,61,66,69,75
950,20041120,27,29,34,37,59
951,20041113,23,47,61,69,82
952,20041106,28,38,47,62,79
