ID,DATE,n1,n2,n3,n4,n5
199,20190413,6,27,31,47,84
200,20190406,17,45,53,86,87
201,20190330,15,20,22,28,65
202,20190323,7,17,42,53,76
203,20190316,4,13,58,74,79
204,20190309,3,27,72,75,78
205,20190302,32,55,61,73,88
206,20190223,11,27,46,48,87
207,20190216,37,38,58,59,68
208,20190209,2,8,18,25,65
209,20190202,8,24,38,68,78
210,20190126,45,67,79,86,88
211,20190119,3,17,34,50,89
212,20190112,5,7,36,76,82
213,20190105,4,8,25,57,65
214,20181229,3,18,43,55,74
215,20181222,16,26,28,46,49
216,20181215,4,7,47,53,75
217,20181208,1,25,26,50,66
218,20181201,24,45,54,65,76
219,20181124,12,19,20,43,61
220,20181117,3,64,73,78,84
221,20181110,15,18,22,33,90
222,20181103,15,70,76,77,87
223,20181027,3,8,49,68,76
224,20181020,9,13,27,81,87
225,20181013,9,20,44,50,70
226,20181006,6,22,28,42,49
227,20180929,13,25,35,39,44
228,20180922,38,43,48,53,69
229,20180915,14,28,30,52,84
230,20180908,1,3,43,67,68
231,20180901,4,12,31,59,61
232,20180825,28,29,48,65,86
233,20180818,7,27,42,66,80
234,20180811,17,37,43,66,68
235,20180804,4,27,30,41,56
236,20180728,1,42,48,86,88
237,20180721,10,13,15,31,38
238,20180714,4,12,24,68,84
239,20180707,4,17,46,78,83
240,20180630,19,41,43,61,75
241,20180623,21,32,61,65,77
242,20180616,38,39,40,73,83
243,20180609,20,21,25,39,57
244,20180602,10,13,26,64,67
245,20180526,15,26,51,74,89
246,20180519,3,43,59,62,69
247,20180512,4,18,56,71,80
248,20180505,5,11,18,67,89
249,20180428,11,23,37,55,72
250,20180421,4,14,27,63,65
251,20180414,19,27,31,37,81
252,20180407,25,36,38,79,84
253,20180331,13,14,16,29,43
254,20180324,22,28,31,49,78
255,20180317,1,23,42,62,71
256,20180310,12,60,67,70,85
257,20180303,28,50,77,78,85
258,20180224,9,11,32,40,55
259,20180217,10,32,42,43,46
260,20180210,59,64,67,73,74
261,20180203,3,20,53,79,88
262,20180127,39,40,68,72,73
263,20180120,1,5,34,45,46
264,20180113,15,45,62,78,79
265,20180106,17,24,37,49,82
266,20171230,1,8,17,50,77
267,20171223,55,67,70,71,73
268,20171216,1,4,31,40,83
269,20171209,16,39,42,45,78
270,20171202,1,3,23,58,70
271,20171125,1,20,26,54,55
272,20171118,1,16,47,61,75
273,20171111,5,18,47,61,85
274,20171104,18,22,50,54,79
275,20171028,15,41,50,71,76
276,20171021,5,32,47,62,88
277,20171014,1,21,35,42,90
278,20171007,8,38,62,69,70
279,20170930,10,18,83,87,89
280,20170923,14,58,59,78,85
281,20170916,34,43,51,67,80
282,20170909,18,23,54,63,82
283,20170902,27,31,47,87,89
284,20170826,34,36,59,69,90
285,20170819,3,7,19,39,50
286,20170812,21,33,68,75,89
287,20170805,7,8,25,29,76
288,20170729,39,46,47,78,85
289,20170722,22,30,35,61,71
290,20170715,1,9,25,73,89
291,20170708,33,54,66,68,72
292,20170701,7,31,34,55,60
293,20170624,5,9,52,59,85
294,20170617,21,43,62,66,84
295,20170610,6,44,46,55,81
296,20170603,21,53,59,71,86
297,20170527,15,24,35,53,71
298,20170520,48,56,58,65,70
299,20170513,5,34,45,54,55
300,20170506,6,7,46,65,88
301,20170429,5,31,41,44,63
302,20170422,47,48,56,67,90
303,20170415,58,59,71,85,89
304,20170408,14,43,49,76,85
305,20170401,7,12,32,38,82
306,20170325,2,3,35,41,79
307,20170318,1,4,59,65,85
308,20170311,1,4,40,49,67
309,20170304,3,28,37,44,46
310,20170225,10,12,13,64,79
311,20170218,51,61,64,74,79
312,20170211,3,5,13,62,87
313,20170204,4,39,49,60,62
314,20170128,3,19,64,66,77
315,20170121,17,20,59,78,81
316,20170114,3,6,67,72,76
317,20170107,9,11,43,57,88
318,20170101,25,42,45,52,86
319,20161223,8,35,60,67,84
320,20161217,26,27,30,73,85
321,20161210,10,14,25,51,71
322,20161203,7,63,69,76,85
323,20161126,33,43,58,60,77
324,20161119,8,9,19,37,43
325,20161112,1,11,45,67,78
326,20161105,7,53,65,73,87
327,20161029,53,55,67,79,80
328,20161022,14,34,43,52,78
329,20161015,17,22,47,73,90
330,20161008,23,36,38,57,76
331,20161001,1,23,37,49,60
332,20160924,8,29,59,77,89
333,20160917,1,9,17,18,89
334,20160910,9,16,78,83,86
335,20160903,4,13,47,76,78
336,20160827,22,29,53,62,74
337,20160820,39,41,46,47,60
338,20160813,13,14,21,34,84
339,20160806,15,24,27,29,40
340,20160730,16,55,60,67,76
341,20160723,32,43,60,74,79
342,20160716,10,42,60,78,82
343,20160709,40,47,52,57,83
344,20160702,1,9,11,19,41
345,20160625,29,54,63,78,83
346,20160618,2,39,69,72,74
347,20160611,3,7,32,41,58
348,20160604,22,42,62,82,84
349,20160528,4,27,41,72,88
350,20160521,9,10,36,50,78
351,20160514,6,18,51,59,64
352,20160507,22,24,43,64,90
353,20160430,43,45,56,66,82
354,20160423,24,36,44,63,68
355,20160416,8,33,57,62,66
356,20160409,5,22,25,67,87
357,20160402,1,23,27,42,84
358,20160326,16,38,54,84,90
359,20160319,15,36,45,58,72
360,20160312,28,30,35,56,84
361,20160305,38,39,52,79,85
362,20160227,27,35,51,57,59
363,20160220,24,43,44,48,58
364,20160213,11,15,23,43,87
365,20160206,11,15,26,39,78
366,20160130,48,55,62,69,80
367,20160123,11,27,55,68,80
368,20160116,7,18,53,54,85
369,20160109,3,50,52,59,74
370,20160102,27,30,35,56,68
371,20151226,3,9,38,42,85
372,20151219,15,21,78,87,89
373,20151212,34,38,45,62,90
374,20151205,22,24,35,63,68
375,20151128,9,50,72,76,89
376,20151121,31,53,57,60,83
